id	group	english	comments for translator	arabic	arabic_comments	bengali	bengali_comments	 chinese (simplified)	 chinese_simplified_comments	 chinese (traditional)	 chinese_traditional_comments	czech	czech_comments	 danish	danish_comments	 dutch	dutch_comments	 farsi/persian	farsi_comments	 finnish	finnish_comments	 french	french_comments	 german	german_comments	 greek	greek_comments	 hebrew	hebrew_comments	 hindi	hindi_comments	hungarian	hungarian_comments	indonesian	indonesian_comments	 italian	italian_comments	 japanese	 japanese_comments	jaVanese	javanese_comments	 korean	 korean_comments	 norweigan	 norweigan_comments	 polish	 polish_comments	 portuguese	 portuguese_comments	 portuguese_br	 portuguese_br_comments	 russian	 russian_comments	 spanish	 spanish_comments	 swedish	 swedish_comments	thai	thai_comments	 turkish	turkish_comments	vietnamese	vietnamese_comments	sentinel
170	numbers	sixteen		ست عشرة		ষোল		十六				šestnáct		seksten		zestien		شانزده		kuusitoista		seize		sechzehn		δεκαέξι		שישה עשר		सोलह		tizenhat		enambelas		sedici anni				nembelas		열 여섯		seksten		szesnaście		dezesseis		dezesseis		шестнадцать		dieciséis		sexton		สิบหก		on altı		mười sáu		0
180	numbers	seventeen		سبعة عشر		সতের		十七				sedmnáct		sytten		zeventien		هفده		seitsemäntoista		dix-sept		siebzehn		δεκαεπτά		שבעה עשר		सत्रह		tizenhét		tujuhbelas		diciassette anni				pitulas		십칠		sytten		siedemnaście		dezessete		dezessete		семнадцать		diecisiete		sjutton		สิบเจ็ด		on yedi		mười bảy		0
190	numbers	eighteen		ثمانية عشر		আঠার		18				osmnáct		atten		achttien		هجده		kahdeksantoista		dix-huit		achtzehn		δεκαοκτώ		שמונה עשרה		अठारह		tizennyolc		delapan belas		diciotto				wolulas		십팔		atten		osiemnastu		dezoito		dezoito		восемнадцати		dieciocho		arton		แปด		onsekiz		mười tám		0
200	numbers	nineteen		تسعة عشر		উনিশ		十九				devatenáct		nitten		negentien		عدد نوزده		yhdeksäntoista		dix-neuf		neunzehn		δεκαεννέα		תשעה עשר		उन्नीस		tizenkilenc		sembilanbelas		diciannove				sangalas		열 아홉		nitten		dziewiętnaście		dezenove		dezenove		девятнадцать		diecinueve		nitton		สิบเก้า		on dokuz		mười chín		0
210	numbers	twenty		عشرون		বিশ		二十				dvacet		tyve		twintig		بیست		kaksikymmentä		vingt		zwanzig		είκοσι		עשרים		बीस		húsz		duapuluh		venti				puluh		스물		tjue		dwadzieścia		vinte		vinte		двадцать		veinte		tjugo		ยี่สิบ		yirmi		hai mươi		0
220	ordinal numbers	first		الأول		প্রথম		第一				první		første		eerste		اولین		ensimmäinen		première		erste		πρώτα		ראשון		पहले		első		pertama		primo				pisanan		처음으로		første		pierwszy		primeiro		primeiro		первый		primero		först		เป็นครั้งแรก		ilk		đầu tiên		0
230	ordinal numbers	second	second place	ثان		দ্বিতীয়		第二				druhý		sekund		tweede		دوم		toinen		deuxième		zweiten		δεύτερος		שני		दूसरा		második		kedua		secondo				liyane		초		andre		drugi		segundo		segundo		второй		segundo		andra		ที่สอง		ikinci		thứ hai		0
240	ordinal numbers	third		ثالث		তৃতীয়		第三				třetí		tredje		derde		سوم		kolmas		troisième		dritten		τρίτος		שלישי		तृतीय		harmadik		ketiga		terzo				katelu		제		tredje		trzeci		terceiro		terceiro		третий		tercero		tredje		ที่สาม		üçüncü		thứ ba		0
250	ordinal numbers	forth		عليها		উচ্চৈ: স্বরে		向前				dále		frem		voort		جلو		eteenpäin		suite		weiter		εμπρός		הלאה		आगे		tovább		seterusnya		fuori				kasebut		앞으로		tilbake		naprzód		adiante		adiante		вперед		adelante		framåt		ออกมา		ileri		ra		0
260	ordinal numbers	fifth		خامس		পঁচম		第五				pátý		femte		vijfde		پنجم		viides		cinquième		fünfte		πέμπτος		חמישי		पांचवां		ötödik		kelima		quinto				kalima		다섯 번째		femte		piąty		quinto		quinto		пятый		quinto		femte		ที่ห้า		beşinci		thứ năm		0
270	ordinal numbers	sixth		سادس		ষষ্ঠ		第六				šestý		sjette		zesde		ششم		kuudes		sixième		sechsten		έκτος		שישית		छठा		hatodik		keenam		sesto				enem		여섯 번째		sjette		szósty		sexto		sexto		шестой		sexto		sjätte		ที่หก		altıncı		thứ sáu		0
280	ordinal numbers	seventh		سابع		সপ্তম		第七				sedmý		syvende		zevende		هفتم		seitsemäs		septième		siebte		έβδομος		שביעי		सातवां		hetedik		ketujuh		settimo				kapitu		일곱 번째		syvende		siódmy		sétimo		sétimo		седьмой		séptimo		sjunde		ที่เจ็ด		yedinci		thứ bảy		0
290	ordinal numbers	eighth		ثامن		অষ্টম		第八				osmý		ottende		achtste		هشتمین		kahdeksas		huitième		achten		όγδοο		השמיני		आठवाँ		nyolcadik		kedelapan		ottavo				kawolu		여덟 번째		åttende		ósma		oitavo		oitavo		восьмой		octavo		åttonde		ที่แปด		sekizinci		thứ tám		0
300	ordinal numbers	nineth		تاسعا		nineth		第九				Devátý		nineth		nineth		nineth		yhdeksäs		nineth		nineth		nineth		Nineth		nineth		kilencedik		nineth		nono				nineth		9 번째		nineth		dziewiątego		nineth		nineth		девятый		noveno		nineth		เก้า		dokuzuncu		nineth		0
310	ordinal numbers	tenth		العاشر		দশম		第十				desátý		tiende		tiende		دهم		kymmenesosa		dixième		zehnten		δέκατος		עשירית		दसवां		tizedik		kesepuluh		decimo				kasapuluh		열째		tiende		dziesiąty		décimo		décimo		десятый		décimo		tionde		ที่สิบ		onuncu		phần mười		0
320	languages	French		فرنسي		ফরাসি		法语				francouzský		Fransk		Frans		زبان فرانسه		ranskalainen		Français		Französisch		Γάλλος		צרפתי		फ्रेंच		francia		Perancis		francese		フランス語		Perancis		프랑스의		fransk		francuski		francês		francês		Французский		francés		Franska		ฝรั่งเศส		Fransızca		Pháp		0
330	languages	German		ألماني		জার্মান		德语				Němec		German		Duits		آلمانی		saksa		Allemand		Deutsch		Γερμανός		גרמני		जर्मन		német		Jerman		tedesco		ドイツ語		Jerman		독일의		Tysk		niemiecki		alemão		alemão		Немецкий		alemán		tyska		ภาษาเยอรมัน		Almanca		Đức		0
340	languages	Chinese		الصينية		চীনা		汉语				Číňan		Kinesisk		Chinees		چینی		kiinalainen		Chinois		Chinesisch		κινέζικα		סיני		चीनी		kínai		Cina		cinese		中国語		Cina		중국의		Chinese		chiński		chinês		chinês		Китайский		chino		kinesiska		จีน		Çince		Trung Quốc		0
350	languages	Japanese		اليابانية		জাপানি		日语				Japonec		Japanese		Japanse		ژاپنی		japanilainen		Japonais		Japanisch		ιαπωνικά		יפני		जापानी		japán		Jepang		giapponese		日本語		Jepang		일본어		japanese		japoński		japonês		japonês		Японский		japonés		japanska		ญี่ปุ่น		Japonca		Nhật Bản		0
360	languages	Russian		الروسية		রাশিয়ান		俄语				ruština		Russisk		Russisch		روسی		venäläinen		Russe		Russisch		ρωσικός		רוסי		रूसी		orosz		Rusia		russo		ロシア語		russian		러시아의		russisk		rosyjski		russo		russo		Русский		ruso		Ryska		ชาวรัสเซีย		Rusça		Nga		0
370	languages	Italian		الإيطالي		ইতালিয়ান		意大利语				italština		Italiensk		Italiaans		ایتالیایی		italialainen		Italien		Italienisch		ιταλικά		איטלקי		इतालवी		olasz		Italia		italiano		イタリア語		Italia		이탈리아의		italiensk		włoski		italiano		italiano		Итальянский		italiano		Italienska		อิตาเลียน		İtalyanca		Ý		0
380	languages	Portuguese		البرتغالية		পর্তুগিজ		葡萄牙语				portugalština		Portugisisk		Portugees		پرتغالی		portugali		Portugais		Portugiesisch		Πορτογάλος		פורטוגזית		पुर्तगाली		portugál		Portugis		portoghese		ポルトガル語		Portugis		포르투갈의		Portugisisk		portugalski		português		português		Португальский		portugués		Portugisiska		ภาษาโปรตุเกส		Portekizce		Bồ Đào Nha		0
390	languages	Korean		كوري		কোরিয়ান		韩语				korejština		Korean		Koreaans		کره ای		korealainen		Coréen		Koreanisch		κορεάτης		קוריאני		कोरियाई		koreai		Korea		coreano		韓国語		Korea		한국의		Korean		koreański		coreano		coreano		Корейский		coreano		koreanska		เกาหลี		Korece		Hàn Quốc		0
400	languages	English		الإنجليزية		ইংরেজি		英语				angličtina		English		Engels		انگلیسی		englanti		Anglais		Englisch		Αγγλικά		אנגלית		अंग्रेज़ी		angol		Inggris		inglese		英語		Inggris		영어		Norsk		angielski		Inglês		Inglês		Английский		inglés		engelska		ภาษาอังกฤษ		İngilizce		Anh		0
410	languages	Arabic		العربية		আরবি		阿拉伯语				arabština		Arabic		Arabisch		عربی		arabialainen		arabe		Arabisch		αραβικός		ערבית		अरबी भाषा		arab		Arab		arabo		アラビア語		Arab		아라비아 말		arabisk		arabski		árabe		árabe		арабский		árabe		Arabic		ภาษาอาหรับ		Arapça		Tiếng Ả Rập		0
420	languages	Danish		دانماركي		ডেনিশ		丹麦的				dánština		Dansk		Deens		دانمارکی		tanska		danois		Danish		Δανός		דני		डेनिश		dán		Denmark		danese		デンマーク語		Denmark		덴마크의		Danish		duński		dinamarquês		dinamarquês		датский		danés		Danska		ภาษาเดนมาร์ก		Danimarkalı		Đan Mạch		0
430	languages	Dutch		هولندي		ডাচ		荷兰人				holandský		Dutch		Nederlands		هلندی		hollantilainen		néerlandais		Dutch		Ολλανδός		הולנדי		डच		holland		Belanda		Olandese		オランダ語		Landa		네덜란드		Dutch		holenderski		holandês		holandês		голландский		holandés		nederländska		ดัตช์		Hollanda		Hà Lan		0
440	languages	Farsi		الفارسية		ফার্সি		波斯语				perština		Farsi		Farsi		فارسی		Persia		Farsi		Farsi		Farsi		פרסית		फारसी		Farsi		Farsi		Farsi		ペルシア語		Persia		페르시아어		Farsi		Farsi		Farsi		Farsi		фарси		Farsi		Farsi		Farsi		Farsça		Farsi		0
450	languages	Persian		اللغة الفارسية		ফার্সি		波斯语				Peršan		Persian		Perzisch		فارسی		persialainen		Persique		Persian		Πέρσης		הפרסי		फ़ारसी		perzsa		Persia		persiano		ペルシア語		Persia		페르시아의		persisk		perski		persa		persa		персидский		persa		Persiska		ชาวเปอร์เซีย		İran		Tiếng Ba Tư		0
460	languages	Finnish		فنلندية		ফিনিশ		芬兰				finský		Finsk		Fins		فنلاندی		suomalainen		Finnish		Finnisch		φινλανδικός		פיני		फिनिश		finn		Finlandia		finlandese		フィンランド語		Finlandia		핀란드의		Finnish		fiński		finlandês		finlandês		финский		finlandés		finska		ฟินแลนด์		Fince		Phần Lan		0
470	languages	Greek		يوناني		গ্রিক		希腊语				Řek		Greek		Grieks		یونانی		kreikkalainen		grecque		Griechisch		ελληνικά		יווני		यूनानी		görög		Yunani		greco		ギリシャ語		Yunani		그리스의		gresk		grecki		grego		grego		греческий		griego		grekiska		กรีก		Yunan		Hy Lạp		0
480	languages	Hebrew		العبرية		হিব্রু		希伯来语				hebrejština		Hebrew		Hebreeuws		زبان عبری		heprea		hébreu		Hebräisch		Εβραϊκά		עברית		यहूदी		héber		Ibrani		ebraico		ヘブライ語の		Ibrani		히브리어		Hebrew		hebrajski		hebraico		hebraico		иврит		hebreo		hebreiska		ชาวอิสราเอล		İbranice		tiếng Do Thái		0
490	languages	Hindi		هندي		হিন্দি		印地文				hindština		Hindi		Hindi		هندی		hindi		Hindi		Hindi		Χίντι		הינדי		हिंदी		hindi		Hindi		Hindi		ヒンディー語		Hindi		힌디 어		Hindi		hinduski		hindi		hindi		хинди		hindi		Hindi		ภาษาฮินดี		Hintçe		Tiếng Hin-ddi		0
500	languages	Norweigan		  Norweigan		Norweigan		 挪威语				norské		Norweigan		Norweigan		 Norweigan		Norja		norweigan		Norweigan		Νορβηγικά		נורבגי		Norweigan		Norweigan		Norweigan		Norweigan		ノルウェー語		norweigan		Norweigan		Norsk		Norweigan		norweigan		norweigan		Norweigan		noruego		Norweigan		นอร์เวย์		Norweigan		Norweigan		0
510	languages	Polish		بولندي		পোলিশ		波兰语				polský		polsk		Pools		لهستانی		puola		polonais		Polnisch		Πολωνός		פולני		पोलिश		lengyel		Polandia		polacco		ポーランド語		Polandia		폴란드의		Polsk		polski		polonês		polonês		польский		polaco		polska		ขัด		Polonya		Ba Lan		0
520	languages	Spanish		الأسبانية		স্প্যানিশ		西班牙人				španělština		Spanish		Spaans		اسپانیایی		espanjalainen		espagnol		Spanisch		ισπανικά		ספרדית		स्पेनिश		spanyol		Spanyol		Spagnolo		スペイン語		Spanyol		스페인의		Spansk		hiszpański		espanhol		espanhol		испанский		español		Spanska		ภาษาสเปน		İspanyolca		Tây Ban Nha		0
530	languages	Swedish		اللغة السويدية		সুইডিশ		瑞典				švédský		Svensk		Zweedse		سوئد		ruotsi		Swedish		Schwedisch		σουηδικά		השבדי		स्वीडिश		svéd		bahasa Swedia		svedese		スウェーデン語		Swedia		스웨덴의		svensk		szwedzki		sueco		sueco		шведский		sueco		svensk		สวีเดน		İsveç		Thụy Điển		0
540	languages	Turkish		التركية		তুর্কি		土耳其				turečtina		Tyrkisk		Turks		ترکی		turkki		turque		Türkisch		Τουρκικά		תורכי		तुर्की		török		Turki		turco		トルコ語		Turki		터키의		Tyrkisk		turecki		turco		turco		турецкий		turco		turkiska		ตุรกี		Türk		Thổ Nhĩ Kỳ		0
550	colors	black		أسود		কালো		黑色				černý		black		zwart		سیاه		musta		Noir		schwarz		μαύρος		שחור		काला		fekete		hitam		nero		黒		ireng		검정		svart		czarny		preto		preto		Черный		Negro		svart		สีดำ		siyah		đen		0
560	colors	blue		أزرق		নীল		蓝色				modrý		blå		blauw		ابی		sininen		Bleu		blau		μπλε		כחול		नीला		kék		biru		blu		青		biru		푸른		blå		niebieski		azul		azul		Синий		Azul		blå		สีน้ำเงิน		mavi		màu xanh		0
570	colors	cyan		السماوي		সায়ান		青绿色				cyan		cyan		cyaan		فیروزه ای		syaani		Cyan		cyan		κυανό		ציאן		सियान		cián		cyan		ciano		シアン		cyan		시안		cyan		cyan		ciano		ciano		Бирюзовый				cyan		สีฟ้า		cam böbeği		cyan		0
580	colors	gray		رمادي		ধূসর		灰色				šedá		grå		grijs		خاکستری		harmaa		Gris		grau		γκρί		אפור		ग्रे		szürke		abu-abu		grigio		灰色		werna abu-abu		회색		grå		szary		cinza		cinza		Серый		Gris		grå		สีเทา		gri		màu xám		0
590	colors	green		أخضر		সবুজ		绿色				zelený		grøn		groen		سبز		vihreä		Vert		grün		πράσινος		ירוק		ग्रीन		zöld		hijau		verde		緑		ijo		녹색		grønn		zielony		verde		verde		Зеленый		Verde		grön		สีเขียว		yeşil		xanh		0
600	colors	orange		البرتقالي		কমলা		橘黄色				oranžový		appelsin		oranje		نارنجی		oranssi		Orange		Orange		πορτοκάλι		תפוז		नारंगी		narancs		jeruk		arancione		オレンジ（橙）		oranye		오렌지		orange		pomarańczowy		laranja		laranja		Оранжевый				apelsin		สีส้ม		turuncu		cam		0
610	colors	purple		أرجواني		রক্তবর্ণ		紫色				nachový		lilla		purper		رنگ ارغوانی		violetti		Pourpre		lila		μωβ		סגול		बैंगनी		lila		ungu		viola		紫		kain		자		lilla		purpurowy		roxo		roxo						lila		สีม่วง		mor		màu tím		0
620	colors	red		أحمر		লাল		红色				červený		red		rood		قرمز		punainen		Rouge		red		κόκκινος		אדום		लाल		piros		merah		rosso		赤		abang		빨강		red		czerwony		vermelho		vermelho		Красный		Rojo		röd		สีแดง		kırmızı		đỏ		0
630	colors	white		أبيض		সাদা		白色				bílý		hvid		wit		سفید		valkoinen		Blanc		weiß		λευκό		לבן		सफ़ेद		fehér		putih		bianco		白		putih		화이트		hvit		biały		branco		branco		Белый		Blanco		vit		ขาว		beyaz		trắng		0
640	colors	yellow		أصفر		হলুদ		黄色				žlutý		gul		geel		زرد		keltainen		Jaune		gelb		κίτρινος		צהוב		पीला		sárga		kuning		giallo		黄色		kuning		황색		gul		żółty		amarelo		amarelo		Желтый		Amarillo		gul		สีเหลือง		sarı		vàng		0
650	colors	pink		وردي		গোলাপী		粉红色				růžový		pink		roze		رنگ صورتی		vaaleanpunainen				rosa		ροζ		ורוד		गुलाबी		rózsaszín		warna merah muda		rosa				Jambon		핑크		rosa		różowy		rosa		rosa						rosa		สีชมพู		pembe		màu hồng		0
660	colors	gold		الذهب		স্বর্ণ		金色				zlato		guld		goud		طلا		kulta				Gold		χρυσός		זהב		सोना		arany		emas		oro				emas		금		gull		złoto		ouro		ouro						guld		ทอง		altın sarısı		vàng		0
670	Game Play	Start	Start Game					开始																																																				Başla				0
680	Game Play	Start Game						开始游戏																																																				Oyun başlat				0
690	Game Play	Play																																		Gioco																												0
700	Game Play	Play again																																																														0
710	Game Play	New Game						新游戏																																																				Yeni oyun				0
720	Game Play	New	New Game					新																 Neu																																				Yeni				0
730	Game Play	Resume	Resume Game					回到游戏																																																				Devam et				0
740	Game Play	Restart																																																										Yeniden başlat				0
750	Game Play	Score						得分																																																				Skor				0
760	Game Play	Your Score																																																														0
770	Game Play	High Scores						高分 or 高分榜																																																				En yüksek skorlar				0
780	Game Play	Help	Help Menu					帮助																																																				Yardım				0
790	Game Play	Next Level																																																														0
800	Misc	Info																						 Info																																								0
810	Misc	Done	Finished action																			Retour																																						Bitti				0
820	Misc	Close 	Close Window																					 Schließen																																				Kapat				0
830	Misc	Dismiss																				Annuler																																										0
850	Misc	More																																																										Daha fazla				0
870	Misc	Email failed to send. Please try again.																				Echec lors de l'envoi de l'email.																																										0
880	Action	Undo	Undo a move/action																																																									Geri al				0
890	Action	Edit																						 Bearbeiten																																								0
900	Action	Cancel																				Annuler		Abbrechen																														Cancelar										0
910	Action	Delete																																																														0
920	Action	Send																																																														0
930	Action	Save																				Sauvegarder		 Speichern																																								0
940	Action	Copy																				Copier																																										0
950	Misc	Failed																				Echec																																										0
960	Game Level	Beginner																																																														0
970	Game Level	Intermediate																																																														0
980	Game Level	Advanced																																																														0
990	Game Level	Easy																																																										Kolay				0
1000	Game Level	Normal																																																										Normal				0
1010	Game Level	Difficult																																																										Zor				0
1020	Game Level	Hard																																																										Çok zor				0
1030	Game Level	Insane																																																										Aşmış	literal translation of Insane is 'deli'			0
1040	Misc	Option																																																														0
1050	Misc	Options																																																														0
1070	Misc	Adventure																																																														0
1080	directions	north																																																														0
1090	directions	south																																																														0
1100	directions	east																																																														0
1110	directions	west																																																														0
1120	directions	right																																																														0
1130	directions	left																																																														0
1140	directions	turn right																																																														0
1150	directions	turn left																																																														0
1160	directions	up																																																														0
1170	directions	down																																																														0
1180	social	Share	Share on Twitter, Facebook																																																													0
1190	Seven Wonders	Time Remaining																																																														0
1200	Seven Wonders	death																																																														0
1210	Seven Wonders	soundtrack																																																														0
1220	Seven Wonders	pyramid																																																														0
1230	Seven Wonders	carpet																																																														0
1240	Seven Wonders	Ankh	http://en.wikipedia.org/wiki/Ankh																																																													0
1250	Seven Wonders	bump																																																														0
1260	Seven Wonders	ground																																																														0
1270	Seven Wonders	Sphinx	of Egypt																																																													0
1280	Seven Wonders	terrain																																																														0
1290	Seven Wonders	dunes	sand dunes																																																													0
1300	Seven Wonders	sword																																																														0
1310	Seven Wonders	wind																																																														0
1320	Account Management	Accounts																																																														0
1330	Account Management	Updated Just Now																																																														0
1340	Account Management	Buy	To purchase																																																													0
1350	Account Management	Account Name																																																														0
1370	Account Management	Sign In																																																														0
1380	Account Management	Required																																																														0
1390	Misc	Usage 																				 Utilisation		 Nutzung														 使用																 Uso										0
1400	Misc	History 																				 L'histoire		 Verlauf														 ヒストリリスト																 Historia										0
1410	Misc	Settings 																				 Paramètres	Réglages	 Einstellungen														 設定																 Configuración										0
1420	Misc	Received 																				 Reçues		 Empfangen														 もらいました																 Recibió										0
1430	Misc	Sent 																				 Envoyé		 Gesendet														 送信																 Enviado										0
1440	Misc	Authentication 																				 D'authentification		 Authentifizierung														 認証情報																 Autenticación										0
1450	Misc	Username 																				 Nom d'utilisateur		 Benutzername														 ユーザー名																 Nombre de usuario										0
1470	Misc	Display 																				 Affichage		 Anzeige														 表																 Pantalla										0
1480	Misc	Warning level 																				 Niveau avertissement		 Warnstufe														 メッセージの次元																 Nivel de advertencia										0
1490	Misc	Alert level 																				 Niveau d'alerte		 Alarmstufe														 警報の次元																 Nivel de alerta										0
1510	Misc	Source 																				 Source		 Quelle														 原始																 Fuente										0
1520	Misc	enter 						 进入																																																								0
1530	Misc	demo 						 这是一个例子																																																								0
1540	Misc	Search 																				Recherche		Suche																														Buscar						Ara				0
1550	Misc	Categories 																				Catégories		Kategorien																														Categorías										0
1560	Misc	Devices 																				Matériels		Geräte																														Dispositivo										0
1570	Misc	All 																				Tout		Alle																														Todo										0
1580	Misc	Favorites 																				Favoris		Favoriten																														Favoritos										0
1590	Misc	Required 																				Impératif		Benötigt																														Requerido										0
1600	Misc	Login 																				Login		Anmelden																														Ingresar										0
1610	Misc	Email 																				Adresse mel		E-Mail																														Email										0
1620	Misc	Password 																				Mot de passe		Passwort	 Kennwort													 パスワード																Contraseña										0
1630	Misc	Your Name 																				Votre nom		Dein Name																														Tu Nombre										0
1640	Misc	Register 																				Enregistrer		Registrieren																														Registrarse										0
1650	Misc	again 																				A nouveau		erneut																														otra vez										0
1670	Misc	Logout 																				Sortir		Abmelden																														Cerrar Sesión										0
1680	Misc	Please check your internet connection and try again. 																				Vérifiez votre connexion Internet et essayez à nouveau		Überprüfe Deine Internet-Verbindung und versuche es erneut.																														Por favor revise su conexión de internet y vuelva intentar.										0
1690	Misc	Retry 																				Essayer à nouveau		Erneut versuchen																														Volver a procesa										0
1700	Misc	Error 																				Erreur		Fehler																														Error										0
1710	Misc	Try Again 																				Essayez à nouveau		Noch mal versuchen																														Intente Otra Vez										0
1720	Misc	Create an Account 																				Créez un compte		Benutzerkonto anlegen																														Crear Una Cuenta										0
1730	Misc	Logged in as %@ 																				Loggé en tant que %@		Angemeldet als %@																														Ingresado/a como %@										0
1740	Misc	Search Results 																				Résultats de recherche		Suchergebnisse																														Resultados de la Búsqueda										0
1750	Misc	No Results Found 																				Pas de résultats trouvés		Suche ohne Ergebnis																														No Hay Resultados										0
1760	Misc	General Information 																				Information générale		Allgemeine Angaben																														Información General										0
1770	Misc	Loading... 																				Chargement en cours...		Wird geladen...																														Cargando...										0
1780	Misc	Browse 																				Visualiser		Durchsuchen																														Navegar										0
1790	Misc	Guides 																				Guides		Anleitungen																														Guías										0
1800	Misc	Projects 																				Projets		Projekte																														Proyectos										0
1810	Misc	More Info 																				Information supplémentaire		Weitere Infos																														Más Información										0
1820	Misc	Answers 																				Réponses		Antworten																														Respuestas										0
1830	Misc	Back 																				Retour		Zurück																														Retrasar										0
1840	Misc	Favorite 																				Favori		Favorit																														Favorito										0
1850	Misc	Downloading																				Chargement en cours		Wird geladen																														Descargando										0
1860	Misc	Saved 																				Enregistré		Gespeichert																														Guardado										0
1870	Misc	Step %d 																				Étape %d		Schritt %d																														Paso %d										0
1880	Misc	Store 	noun - Place to buy things.																			Boutique		Shop																														Tienda										0
1890	Misc	Okay 																				OK		Okay																														Bueno										0
1900	Misc	Untitled 																				Sans titre		Unbenannt																														Intitulado										0
