id	group	english	Part of Speech: n=noun, v=verb, adj=adjective, adv=adverb, phrase=phrase	comments for translator	Wiktionary	arabic	arabic_comments	bengali	bengali_comments	 chinese_simplified	 chinese_simplified_comments	 chinese_traditional	 chinese_traditional_comments	czech	czech_comments	 danish	danish_comments	 dutch	dutch_comments	 farsi/persian	farsi_comments	 finnish	finnish_comments	 french	french_comments	 german	german_comments	 greek	greek_comments	 hebrew	hebrew_comments	 hindi	hindi_comments	hungarian	hungarian_comments	indonesian	indonesian_comments	 italian	italian_comments	 japanese	 japanese_comments	jaVanese	javanese_comments	 korean	 korean_comments	malay	malay_comments	norwegian	norwegian_comments	 polish	 polish_comments	 portuguese	 portuguese_comments	 portuguese_br	 portuguese_br_comments	 russian	 russian_comments	 spanish	 spanish_comments	 swedish	 swedish_comments	thai	thai_comments	 turkish	turkish_comments	vietnamese	vietnamese_comments	sentinel/internal_id
14	numbers	fourteen			http://en.wiktionary.org/wiki/fourteen#Translations	أربعة عشرة		চৌদ্দ		十四		十四		čtrnáct		fjorten		veertien		چهارده		neljätoista		quatorze		vierzehn		δεκατέσσερα		ארבעה עשר		चौदह		tizennégy		empatbelas		quattordici		十四		patbelas		십사		empatbelas 		fjorten		czternaście		catorze		catorze		четырнадцать		catorce		fjorton		สิบสี่		on dört		mười bốn		0
15	numbers	fifteen			http://en.wiktionary.org/wiki/fifteen#Translations	خمسة عشر		পনের		十五		十五		patnáct		femten		vijftien		پانزده		viisitoista		quinze		fünfzehn		δεκαπέντε		חמישה עשר		पंद्रह		tizenöt		limabelas		quindici		十五 		limalas		열 다섯		lima belas 		femten		piętnaście		quinze		quinze		пятнадцать		quince		femton		สิบห้า		onbeş		mười lăm		0
16	numbers	sixteen			http://en.wiktionary.org/wiki/sixteen#Translations	ست عشرة		ষোল		十六		十六		šestnáct		seksten		zestien		شانزده		kuusitoista		seize		sechzehn		δεκαέξι		שישה עשר		सोलह		tizenhat		enambelas		sedici anni		十六 		nembelas		열 여섯		enambelas 		seksten		szesnaście		dezesseis		dezesseis		шестнадцать		dieciséis		sexton		สิบหก		on altı		mười sáu		0
17	numbers	seventeen			http://en.wiktionary.org/wiki/seventeen#Translations	سبعة عشر		সতের		十七		十七		sedmnáct		sytten		zeventien		هفده		seitsemäntoista		dix-sept		siebzehn		δεκαεπτά		שבעה עשר		सत्रह		tizenhét		tujuhbelas		diciassette anni		十七 		pitulas		십칠		tujuhbelas 		sytten		siedemnaście		dezessete		dezessete		семнадцать		diecisiete		sjutton		สิบเจ็ด		on yedi		mười bảy		0
18	numbers	eighteen			http://en.wiktionary.org/wiki/eighteen#Translations	ثمانية عشر		আঠার		十八		十八		osmnáct		atten		achttien		هجده		kahdeksantoista		dix-huit		achtzehn		δεκαοκτώ		שמונה עשרה		अठारह		tizennyolc		delapan belas		diciotto		十八 		wolulas		십팔		delapan belas 		atten		osiemnastu		dezoito		dezoito		восемнадцати		dieciocho		arton		แปด		onsekiz		mười tám		0
19	numbers	nineteen			http://en.wiktionary.org/wiki/nineteen#Translations	تسعة عشر		উনিশ		十九		十九		devatenáct		nitten		negentien		عدد نوزده		yhdeksäntoista		dix-neuf		neunzehn		δεκαεννέα		תשעה עשר		उन्नीस		tizenkilenc		sembilanbelas		diciannove		十九		sangalas		열 아홉		sembilanbelas 		nitten		dziewiętnaście		dezenove		dezenove		девятнадцать		diecinueve		nitton		สิบเก้า		on dokuz		mười chín		0
20	numbers	twenty			http://en.wiktionary.org/wiki/twenty#Translations	عشرون		বিশ		二十		二十		dvacet		tyve		twintig		بیست		kaksikymmentä		vingt		zwanzig		είκοσι		עשרים		बीस		húsz		duapuluh		venti		二十		puluh		스물		dua puluh 		tjue		dwadzieścia		vinte		vinte		двадцать		veinte		tjugo		ยี่สิบ		yirmi		hai mươi		0
21	numbers	twenty-one			http://en.wiktionary.org/wiki/twenty-one#Translations	واحد وعشرين 		একুশ 		二十一		二十一		dvacet jedna 		enogtyve 		eenentwintig		بیست و یک 		ventti 		vingt et un		einundzwanzig		είκοσι μία 		עשרים ואחד 		इक्कीस 		Huszonegy 		dua puluh satu 		ventuno		二十一		puluh siji 		스물 한 		dua puluh satu 				dwadzieścia jeden 		vinte e um		vinte e um		двадцать один		veintiuno		tjugoen 		ยี่สิบเอ็อ 		yirmi bir		hai mươi mốt 		0
22	numbers	twenty-two			http://en.wiktionary.org/wiki/twenty-two#Translations	اثنين وعشرين 		বাইশ 		二十二		二十二		dvacet dva 		toogtyve 		tweeëntwintig		بیست و دو 		kaksikymmentäkaksi 		vingt-deux		zweiundzwanzig		είκοσι δύο 		עשרים ושתיים 		बाईस 		Huszonkét 		dua puluh dua 		ventidue		二十二		puluh loro 		스물 두 		dua puluh dua 		tjueto 		dwadzieścia dwa 		vinte e dois		vinte e dois		двадцать два		veintidós		tjugotvå 		ยี่สิบสอง 		yirmi iki		hai mươi hai 		0
23	numbers	twenty-three			http://en.wiktionary.org/wiki/twenty-three#Translations	ثلاثة وعشرون 		তেইশ 		二十三		二十三		dvacet tři 		treogtyve 		drieëntwintig		بیست و سه 		kaksikymmentäkolme 		vingt-trois		dreiundzwanzig		είκοσι τρία 		עשרים ושלושה 		तेईस 		Huszonhárom 		dua puluh tiga 		ventitré		二十三		puluh-tiga 		스물셋 		dua puluh tiga 		tjuetre 		dwadzieścia trzy 		vinte e três		vinte e três		двадцать три		veintitrés		tjugotre 		ยี่สิบสาม 		yirmi üç		hai mươi ba 		0
24	numbers	twenty-four			http://en.wiktionary.org/wiki/twenty-four#Translations	أربع وعشرين 		চৌবিশ 		二十四		二十四		dvacet čtyři 		fireogtyve 		vierentwintig		بیست و چهار 		kaksikymmentäneljä 		vingt-quatre		vierundzwanzig		είκοσι τέσσερις 		עשרים וארבעה 		चौबीस 		Huszonnégy 		dua puluh empat 		ventiquattro		二十四		puluh-papat 		스물 네 		dua puluh empat 		tjuefire 		dwadzieścia cztery 		vinte e quatro		vinte e quatro		двадцать четыре		veinticuatro		tjugofyra 		ยี่สิบสี่ 		yirmi dört		hai mươi bốn 		0
25	numbers	twenty five			http://en.wiktionary.org/wiki/twenty five#Translations	خمسة وعشرون 		বিশ পাঁচ 		二十五		二十五		dvacet pět 		fem og tyve 		vijfentwintig		بیست و پنج 		kaksikymmentäviisi 		vingt-cinq		fünfundzwanzig		εικοσιπέντε 		עשרים וחמש 		पच्चीस 		huszonöt 		Twenty Five 		venticinque		二十五		puluh lima 		이십오 		dua puluh lima 		tjuefem 		dwadzieścia pięć 		vinte e cinco		vinte e cinco		двадцать пять		veinticinco		tjugofem 		ยี่สิบห้า 		yirmi beş		hai mươi lăm 		0
26	numbers	twenty-six			http://en.wiktionary.org/wiki/twenty-six#Translations	ستة وعشرين 		একুশ ছয় 		二十六		二十六		dvacet šest 		seksogtyve 		zesentwintig		بیست و شش 		kaksikymmentäkuusi 		vingt-six		sechsundzwanzig		είκοσι έξι 		עשרים ושישה 		छब्बीस 		Huszonhat 		dua puluh enam 		ventisei		二十六		puluh-enem 		스물여섯 		dua puluh enam 		tjueseks 		dwadzieścia sześć 		vinte e seis		vinte e seis		Двадцать шесть		veintiséis		tjugosex 		ยี่สิบหก 		yirmi altı		hai mươi sáu 		0
27	numbers	twenty-seven			http://en.wiktionary.org/wiki/twenty-seven#Translations	سبعة وعشرين 		বিশ-সাত 		二十七		二十七		dvacet sedm 		syvogtyve 		zevenentwintig		بیست و هفت 		kaksikymmentäseitsemän 		vingt-sept		siebenundzwanzig		είκοσι επτά 		עשרים ושבעה 		सत्ताईस 		Huszonhét 		dua puluh tujuh 		ventisette		二十七 		puluh pitu 		이십 칠 		dua puluh tujuh 		tjuesyv 		dwadzieścia siedem 		vinte e sete		vinte e sete		двадцать семь		veintisiete		tjugosju 		ยี่สิบเจ็ด 		yirmi yedi		hai mươi bảy 		0
28	numbers	twenty-eight			http://en.wiktionary.org/wiki/twenty-eight#Translations	ثمانية وعشرين 		বিশ-আট 		二十八		二十八		dvacet osm 		otteogtyve 		achtentwintig		بیست و هشت 		kaksikymmentäkahdeksan 		vingt-huit		achtundzwanzig		είκοσι οκτώ 		עשרים ושמונה 		अट्ठाईस 		Huszonnyolc 		dua puluh delapan 		ventotto		二十八		puluh-wolung 		스물여덟 		dua puluh lapan 		tjueåtte 		dwadzieścia osiem 		vinte e oito		vinte e oito		двадцать восемь		veintiocho		tjugoåtta 		ยี่สิบแปด 		yirmi sekiz		hai mươi tám 		0
29	numbers	twenty-nine			http://en.wiktionary.org/wiki/twenty-nine#Translations	تسعة وعشرين 		একুশ নয় 		二十九		二十九		dvacet devět 		niogtyve 		negenentwintig		بیست و نه 		kaksikymmentäyhdeksän 		vingt-neuf		neunundzwanzig		είκοσι εννέα 		עשרים ותשעה 		उनतीस 		huszonkilenc 		dua puluh sembilan 		ventinove		二十九		puluh sanga 		스물 아홉 		dua puluh sembilan 		tjueni 		dwadzieścia dziewięć 		vinte e nove		vinte e nove		двадцать девять		veintinueve		tjugonio 		ยี่สิบเก้า 		yirmi dokuz		hai mươi chín 		0
30	numbers	thirty			http://en.wiktionary.org/wiki/thirty#Translations	ثلاثون 		ত্রিশ 		三十		三十		třicet 		tredive 		dertig		سی 		kolmekymmentä 		trente		dreiβig		τριάντα 		שלושים 		तीस 		harminc 		tigapuluh 		trenta		三十の		tilu puluh 		삼십 		tigapuluh 		tretti 		trzydzieści 		trinta		trinta		тридцать		treinta		trettio 		สามสิบ 		otuz		ba mươi 		0
31	numbers	thirty-one			http://en.wiktionary.org/wiki/thirty-one#Translations	إحدى وثلاثين 		ত্রিশ-এক 		三十一		三十一		třicet jedna 		enogtredive 		eenendertig		سی و یک 		kolmekymmentäyksi 		trente et un		einunddreiβig		τριάντα ένα 		שלושים ואחת 		इकतीस 		harmincegy 		tiga puluh satu 		trentuno		三十一		telung puluh siji 		삼십일 		tiga puluh satu 		trettien 		trzydzieści jeden 		trinta e um		trinta e um		Тридцать один		treinta y uno		trettioen 		สามสิบเอ็ด 		otuz bir		ba mươi mốt 		0
32	numbers	thirty-two			http://en.wiktionary.org/wiki/thirty-two#Translations	اثنين وثلاثين 		ত্রিশ-দুই 		三十二		三十二		třicet dva 		toogtredive 		tweeëndertig		سی و دو 		kolmekymmentäkaksi 		trente-deux		zweiundreißig		τριάντα δύο 		שלושים ושתיים 		बत्तीस 		Harminckét 		tiga puluh dua 		trentadue		三十二		telung puluh loro 		서른둘 		tiga puluh dua 		trettito 		trzydzieści dwa 		trinta e dois		trinta e dois		тридцать два		treinta y dos		trettiotvå 		สามสิบสอง 		otuz iki		ba mươi hai 		0
33	numbers	thirty-three			http://en.wiktionary.org/wiki/thirty-three#Translations	ثلاثة وثلاثون 		একত্রিশ তিনটি 		三十三		三十三		třicet tři 		treogtredive 		drieëndertig		سی و سه 		kolmekymmentäkolme 		trente-trois		dreiunddreißig		τριάντα τρεις 		שלושים ושלושה 		तैंतीस 		harminchárom 		tiga puluh tiga 		trentatré		三十三		telung puluh telu 		서른 세 		tiga puluh tiga 		trettitre 		trzydzieści trzy 		trinta e três		trinta e três		Тридцать три		treinta y tres		trettiotre 		สามสิบสาม 		otuz üç		ba mươi ba 		0
34	numbers	thirty-four			http://en.wiktionary.org/wiki/thirty-four#Translations	أربعة وثلاثين 		ত্রিশ-চার 		三十四		三十四		třicet čtyři 		fireogtredive 		vierendertig		سی و چهار 		kolmekymmentäneljä 		trente-quatre		vierunddreißig		τριάντα τέσσερα 		שלושים וארבעה 		चौंतीस 		Harmincnégy 		tiga puluh empat 		trentaquattro		三十四		telung puluh papat 		서른 넷 		tiga puluh empat 		trettifire 		trzydzieści cztery 		trinta e quatro		trinta e quatro		тридцать четыре		treinta y cuatro		trettiofyra 		สามสิบสี่ 		otuz dört		ba mươi bốn 		0
35	numbers	thirty-five			http://en.wiktionary.org/wiki/thirty-five#Translations	خمسة وثلاثون 		পঁয়ত্রিশ 		三十五		三十五		třicet pět 		femogtredive 		vijfendertig		سی و پنج 		kolmekymmentäviisi 		trente-cinq		fünfunddreißig		τριάντα πέντε 		שלושים וחמישה 		पैंतीस 		harmincöt 		tiga puluh lima 		trentacinque		三十五		telung puluh lima 		삼십 오 		tiga puluh lima 		trettifem 		trzydzieści pięć 		trinta e cinco anos		trinta e cinco anos		тридцать пять		treinta y cinco		trettiofem 		สามสิบห้า 		otuz beş		ba mươi lăm 		0
36	numbers	thirty-six			http://en.wiktionary.org/wiki/thirty-six#Translations	ستة وثلاثين 		একত্রিশ ছয় 		三十六		三十六		třicet šest 		seksogtredive 		zesendertig		سی و شش 		kolmekymmentäkuusi 		trente-six		sechsunddreißig		τριάντα έξι 		שלושים ושישה 		छत्तीस 		Harminchat 		tiga puluh enam 		trentasei		三十六		telung puluh enem 		삼십 육 		tiga puluh enam 		trettiseks 		trzydzieści sześć 		trinta e seis		trinta e seis		тридцать шесть		treinta y seis		trettiosex 		สามสิบหก 		otuz altı		ba mươi sáu 		0
37	numbers	thirty-seven			http://en.wiktionary.org/wiki/thirty-seven#Translations	سبعة وثلاثين 		ত্রিশ-সাত 		三十七		三十七		třicet sedm 		syvogtredive 		zevenendertig		سی و هفت 		kolmekymmentäseitsemän 		trente-sept		siebenunddreißig		τριάντα επτά 		שלושים ושבעה 		सैंतीस 		Harminchét 		tiga puluh tujuh 		trentasette		三十七		telung puluh pitu 		삼십 칠 		tiga puluh tujuh 		trettisyv 		trzydzieści siedem 		trinta e sete		trinta e sete		тридцать семь		treinta y siete		trettiosju 		สามสิบเจ็ด 		otuz yedi		ba mươi bảy 		0
38	numbers	thirty-eight			http://en.wiktionary.org/wiki/thirty-eight#Translations	ثمانية وثلاثون 		ত্রিশ-আট 		三十八		三十八		třicet osm 		otteogtredive 		achtendertig		سی و هشت 		kolmekymmentäkahdeksan 		trente-huit		achtunddreißig		τριάντα οκτώ 		שלושים ושמונה 		अड़तीस 		harmincnyolc 		tiga puluh delapan 		trentotto		三十八		telung puluh wolu 		서른여덟 		tiga puluh lapan 		trettiåtte 		trzydzieści osiem 		trinta e oito		trinta e oito		Тридцать восемь		treinta y ocho		trettioåtta 		สามสิบแปด 		otuz sekiz		ba mươi tám 		0
39	numbers	thirty-nine			http://en.wiktionary.org/wiki/thirty-nine#Translations	تسعة وثلاثين 		ত্রিশ-নয়টি 		三十九		三十九		třicet devět 		ni og tredive 		negenendertig		سی و نه 		kolmekymmentäyhdeksän 		trente-neuf		neununddreißig		τριάντα εννέα 		שלושים ותשעה 		उनतालीस 		Harminckilenc 		tiga puluh sembilan 		trentanove		三十九		telung puluh sanga 		서른아홉 		tiga puluh sembilan 		trettini 		trzydzieści dziewięć 		trinta e nove		trinta e nove		Тридцать девять		treinta y nueve		trettionio 		สามสิบเก้า 		otuz dokuz		ba mươi chín 		0
40	numbers	forty			http://en.wiktionary.org/wiki/forty#Translations	أربعون 		চল্লিশ 		四十		四十		čtyřicet 		fyrre 		veertig		چهل 		neljäkymmentä 		quarante		vierzig		σαράντα 		ארבעים 		चालीस 		negyven 		empatpuluh 		quaranta		よんじゅう		empatpuluh 		사십 		empatpuluh 		førti 		czterdzieści 		quarenta		quarenta		сорок		cuarenta		fyrtio 		สี่สิบ 		kırk		bốn mươi 		0
41	numbers	forty-one			http://en.wiktionary.org/wiki/forty-one#Translations	واحد وأربعون 		চল্লিশ-এক 		四十一		四十一		Čtyřicet jedna 		enogfyrre 		eenenveertig		چهل و یک 		neljäkymmentäyksi 		quarante et un		einundvierzig		σαράντα ένα 		הארבעים ואחת שנים 		चालीस के एक 		negyvenegy 		empat puluh satu 		quarantuno		四十一		patang puluh siji 		마흔하나 		empat puluh satu 		førtien 		czterdziestu jeden 		quarenta e um anos		quarenta e um anos		Сорок один		cuarenta y uno		fyrtioen 		สี่สิบเอ็ด 		kırk bir		bốn mươi mốt 		0
42	numbers	forty-two			http://en.wiktionary.org/wiki/forty-two#Translations	اثنين وأربعين 		চল্লিশ-দুই 		四十二		四十二		čtyřicet dva 		toogfyrre 		tweeënveertig		چهل و دو 		neljäkymmentäkaksi 		quarante-deux		zweiundvierzig		σαράντα δύο 		ארבעים ושתיים 		बयालीस 		Negyvenkét 		empat puluh dua 		quarantadue		四十二		patang puluh loro 		마흔두 		empat puluh dua 		førtito 		czterdzieści dwa 		quarenta e dois		quarenta e dois		сорок два		cuarenta y dos		fyrtiotvå 		สี่สิบสอง 		kırk iki		bốn mươi hai 		0
43	numbers	forty-three			http://en.wiktionary.org/wiki/forty-three#Translations	ثلاثة وأربعون 		চল্লিশ-তিন 		四十三		四十三		čtyřicet tři 		treogfyrre 		drieënveertig		چهل و سه 		neljäkymmentäkolme 		quarante-trois		dreiundvierzig		σαράντα τρία 		ארבעים ושלוש 		तैंतालीस 		Negyvenhárom 		empat puluh tiga 		quarantatre		四十三		patang puluh telu 		마흔셋 		empat puluh tiga 		førtitre 		czterdzieści trzy 		quarenta e três		quarenta e três		сорок три		cuarenta y tres		fyrtiotre 		สามสี่สิบ 		kırk üç		bốn mươi ba 		0
44	numbers	forty-four			http://en.wiktionary.org/wiki/forty-four#Translations	أربعة وأربعين 		চুয়াল্লিশ 		四十四		四十四		čtyřicet čtyři 		fireogfyrre 		vierenveertig		چهل و چهار 		neljäkymmentäneljä 		quarante-quatre		vierundvierzig		σαράντα τέσσερις 		ארבעים וארבעה 		चौवालीस 		Negyvennégy 		empat puluh empat 		quarantaquattro		四十四 		patang puluh papat 		마흔넷 		empat puluh empat 		førtifire 		czterdzieści cztery 		quarenta e quatro		quarenta e quatro		сорок четыре		cuarenta y cuatro		fyrtiofyra 		สี่สิบสี่ 		kırk dört		bốn mươi bốn 		0
45	numbers	forty-five			http://en.wiktionary.org/wiki/forty-five#Translations	خمسة وأربعين 		পঁয়তাল্লিশ 		四十五		四十五		čtyřicet pět 		femogfyrre 		vijfenveertig		چهل و پنج 		neljäkymmentäviisi 		quarante-cinq		fünfundvierzig		σαράντα πέντε 		ארבעים וחמישה 		पैंतालीस 		negyvenöt 		empat puluh lima 		quarantacinque		四十五		patang puluh lima 		사십 오 		empat puluh lima 		førtifem 		czterdziestu pięciu 		quarenta e cinco anos		quarenta e cinco anos		сорок пять		cuarenta y cinco		fyrtiofem 		สี่สิบห้า 		kırk beş		bốn mươi lăm 		0
46	numbers	forty-six			http://en.wiktionary.org/wiki/forty-six#Translations	ستة وأربعين 		ছেচল্লিশ 		四十六		四十六		čtyřicet šest 		seksogfyrre 		zesenveertig		چهل و شش 		neljäkymmentäkuusi 		quarante-six		sechsundvierzig		σαράντα έξι 		ארבעים ושישה 		छियालीस 		Negyvenhat 		empat puluh enam 		quarantasei		四十六		patang puluh enem 		마흔여섯 		empat puluh enam 		førtiseks 		czterdzieści sześć 		quarenta e seis		quarenta e seis		Сорок шесть		cuarenta y seis		fyrtiosex 		สี่สิบหก 		kırk altı		bốn mươi sáu 		0
47	numbers	forty-seven			http://en.wiktionary.org/wiki/forty-seven#Translations	سبعة وأربعين 		চল্লিশ-সাত 		四十七		四十七		čtyřicet sedm 		syvogfyrre 		zevenenveertig		چهل و هفت 		neljäkymmentäseitsemän 		quarante-sept		siebenundvierzig		σαράντα επτά 		ארבעים ושבעה 		सैंतालीस 		negyvenhét 		empat puluh tujuh 		quarantasette		四十七		patang puluh pitu 		마흔일곱 		empat puluh tujuh 		førtisju 		czterdzieści siedem 		quarenta e sete		quarenta e sete		сорок семь		cuarenta y siete		fyrtiosju 		สี่สิบเจ็ด 		kırk yedi		bốn mươi bảy 		0
48	numbers	forty-eight			http://en.wiktionary.org/wiki/forty-eight#Translations	ثمان وأربعين 		আটচল্লিশ 		四十八		四十八		čtyřicet osm 		otteogfyrre 		achtenveertig		چهل و هشت 		neljäkymmentäkahdeksan 		quarante-huit		achtundvierzig		σαράντα οκτώ 		ארבעים ושמונה 		अड़तालीस 		Negyvennyolc 		empat puluh delapan 		quarantotto		四十八		patang puluh wolu 		마흔여덟 		empat puluh lapan 		førtiåtte 		czterdzieści osiem 		quarenta e oito		quarenta e oito		сорок восемь		cuarenta y ocho		fyrtioåtta 		สี่สิบแปด 		kırk sekiz		bốn mươi tám 		0
49	numbers	forty-nine			http://en.wiktionary.org/wiki/forty-nine#Translations	تسعة وأربعين 		চল্লিশ-নয়টি 		四十九		四十九		čtyřicet devět 		niogfyrre 		negenenveertig		چهل و نه 		neljäkymmentäyhdeksän 		quarante-neuf		neunundvierzig		σαράντα εννέα 		ארבעים ותשעה 		उनचास 		negyvenkilenc 		empat puluh sembilan 		quarantanove		四十九		patang puluh sanga 		사십구 		empat puluh sembilan 		førtini 		czterdzieści dziewięć 		quarenta e nove		quarenta e nove		сорок девять		cuarenta y nueve		fyrtionio 		สี่สิบเก้า 		kırk dokuz		bốn mươi chín 		0
50	numbers	fifty			http://en.wiktionary.org/wiki/fifty#Translations	خمسون 		পঞ্চাশ 		五十		五十		padesát 		halvtreds 		vijftig		پنجاه 		viisikymmentä 		cinquante		fünfzig		πενήντα 		חמישים 		पचास 		ötven 		limapuluh 		cinquanta		ごじゅう		limapuluh 		오십 		limapuluh 		fifty 		pięćdziesiąt 		cinqüenta		cinqüenta		пятьдесят		cincuenta		femtio 		ห้าสิบ 		elli		năm mươi 		0
51	numbers	fifty-one			http://en.wiktionary.org/wiki/fifty-one#Translations	واحد وخمسون 		পঞ্চাশ-এক 		五十一		五十一		jedenapadesát 		enoghalvtreds 		eenenvijftig 		پنجاه و یک 		viisikymmentäyksi 		cinquante et un		einundfünfzig		πενήντα ένα 		חמישים ואחד 		इक्यावन 		ötvenegy 		lima puluh satu 		cinquantuno		五十一		sèket siji 		쉰한 		lima puluh satu 		femtien 		pięćdziesiąt jeden 		cinqüenta e um		cinqüenta e um		пятьдесят один		cincuenta y uno		femtioen 		ห้าสิบเอ็ด 		elli bir		năm mươi mốt 		0
52	numbers	fifty-two			http://en.wiktionary.org/wiki/fifty-two#Translations	اثنتين وخمسين 		পঞ্চাশ-দুই 		五十二		五十二		padesát dva 		femtito 		tweeënvijftig 		پنجاه و دو 		viisikymmentäkaksi 		cinquante-deux		zweiundfünfzig		πενήντα δύο 		חמישים ושתיים 		बावन 		ötvenkét 		lima puluh dua 		cinquantadue		五十二		sèket kalih 		쉰두 		lima puluh dua 		femtito 		pięćdziesiąt dwa 		cinqüenta e dois		cinqüenta e dois		пятьдесят два		cincuenta y dos		femtiotvå 		ห้าสิบสอง 		elli iki		năm mươi hai 		0
